City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-11-21 19:06:52,72.7868,-56.1549,8.08,95,81,6.08
1,Bellary,IN,2022-11-21 19:02:29,15.15,76.9333,66.76,81,100,5.39
2,Rikitea,PF,2022-11-21 19:06:53,-23.1203,-134.9692,72.03,85,92,11.01
3,Mogadishu,SO,2022-11-21 19:06:53,2.0371,45.3438,79.3,78,11,10.94
4,Saint-Philippe,RE,2022-11-21 19:06:54,-21.3585,55.7679,74.79,78,13,4.79
5,Nikolskoye,RU,2022-11-21 19:06:54,59.7035,30.7861,19.29,90,89,4.25
6,Hilo,US,2022-11-21 19:06:54,19.7297,-155.09,74.93,82,75,6.91
7,Atuona,PF,2022-11-21 19:06:55,-9.8,-139.0333,77.5,67,11,17.45
8,Alofi,NU,2022-11-21 19:06:55,-19.0595,-169.9187,77.52,76,100,18.05
9,High Level,CA,2022-11-21 19:05:09,58.5169,-117.136,31.08,81,6,2.26
10,Kavieng,PG,2022-11-21 19:06:55,-2.5744,150.7967,82.15,76,32,8.75
11,Barkly West,ZA,2022-11-21 19:06:56,-28.5354,24.5215,80.53,20,100,7.09
12,Mayumba,GA,2022-11-21 19:06:56,-3.432,10.6554,75.69,91,74,5.5
13,Kulhudhuffushi,MV,2022-11-21 19:06:56,6.6221,73.07,81.54,63,30,11.61
14,Punta Arenas,CL,2022-11-21 19:06:57,-53.15,-70.9167,48.31,81,100,10.36
15,Chokurdakh,RU,2022-11-21 19:06:57,70.6333,147.9167,-23.21,99,100,1.57
16,Puerto Ayora,EC,2022-11-21 19:06:57,-0.7393,-90.3518,78.76,97,86,10.0
17,Avarua,CK,2022-11-21 19:06:58,-21.2078,-159.775,75.25,64,75,13.8
18,Laguna,US,2022-11-21 19:06:58,38.421,-121.4238,64.09,51,0,0.0
19,Saint George,US,2022-11-21 19:02:06,37.1041,-113.5841,51.44,31,0,0.0
20,Marrakesh,MA,2022-11-21 19:06:58,31.6315,-8.0083,69.87,43,0,4.61
21,Tiksi,RU,2022-11-21 19:06:59,71.6872,128.8694,-22.92,100,84,3.44
22,Ushuaia,AR,2022-11-21 19:06:59,-54.8,-68.3,55.02,54,75,13.8
23,Khatanga,RU,2022-11-21 19:06:59,71.9667,102.5,-37.95,100,68,1.45
24,Coahuayana,MX,2022-11-21 19:07:00,18.7333,-103.6833,87.94,54,92,5.03
25,Hermanus,ZA,2022-11-21 19:07:00,-34.4187,19.2345,64.8,73,74,3.78
26,Kahului,US,2022-11-21 19:04:52,20.8947,-156.47,78.82,78,40,17.27
27,Pisco,PE,2022-11-21 19:05:28,-13.7,-76.2167,68.05,83,20,12.66
28,Qaqortoq,GL,2022-11-21 19:07:01,60.7167,-46.0333,15.22,91,17,6.2
29,Doctor Arroyo,MX,2022-11-21 19:07:01,23.6667,-100.1833,58.44,76,100,7.96
30,Beloha,MG,2022-11-21 19:07:01,-25.1667,45.05,65.7,65,5,4.83
31,Port Hardy,CA,2022-11-21 19:07:02,50.6996,-127.4199,45.72,84,100,14.63
32,Porto Novo,BJ,2022-11-21 19:07:02,6.4965,2.6036,80.26,81,84,8.59
33,Tabuk,PH,2022-11-21 19:07:02,17.4189,121.4443,72.18,92,87,3.6
34,Kapaa,US,2022-11-21 19:06:11,22.0752,-159.319,79.12,73,20,21.85
35,Georgetown,MY,2022-11-21 19:05:24,5.4112,100.3354,81.23,86,20,0.0
36,Bredasdorp,ZA,2022-11-21 19:07:03,-34.5322,20.0403,61.25,70,100,4.16
37,Torbay,CA,2022-11-21 19:05:44,47.6666,-52.7314,36.75,81,98,14.0
38,Naze,JP,2022-11-21 19:07:04,28.3667,129.4833,68.54,75,3,6.15
39,Orbetello,IT,2022-11-21 19:07:04,42.4408,11.2196,57.16,74,100,8.55
40,Luderitz,NA,2022-11-21 19:07:04,-26.6481,15.1594,64.69,75,10,8.01
41,Ust-Kuyga,RU,2022-11-21 19:07:05,70.0167,135.6,-33.86,100,98,3.83
42,Port Lincoln,AU,2022-11-21 19:07:05,-34.7333,135.8667,54.09,72,79,11.48
43,Mataura,NZ,2022-11-21 19:07:05,-46.1927,168.8643,51.48,84,57,3.06
44,Maldonado,UY,2022-11-21 19:02:22,-34.6667,-54.9167,65.59,98,100,4.16
45,Clyde River,CA,2022-11-21 19:08:06,70.4692,-68.5914,-12.33,76,98,4.99
46,Schwarzenbek,DE,2022-11-21 19:08:06,53.5,10.4833,29.98,96,12,1.01
47,Tura,IN,2022-11-21 19:08:07,25.5198,90.2201,60.17,89,9,3.83
48,Hasaki,JP,2022-11-21 19:08:07,35.7333,140.8333,52.21,82,8,10.47
49,Victoria,HK,2022-11-21 19:04:04,22.2855,114.1577,75.38,88,100,15.01
50,Koslan,RU,2022-11-21 19:08:07,63.4564,48.8989,17.69,99,96,2.46
51,Marsh Harbour,BS,2022-11-21 19:05:43,26.5412,-77.0636,78.46,77,100,18.05
52,Sitka,US,2022-11-21 19:08:08,57.0531,-135.33,46.29,76,100,17.27
53,Tuktoyaktuk,CA,2022-11-21 19:03:21,69.4541,-133.0374,15.8,92,100,4.61
54,Dalvik,IS,2022-11-21 19:08:09,65.9702,-18.5286,36.12,83,29,9.01
55,Morrope,PE,2022-11-21 19:08:09,-6.5417,-80.0111,73.51,47,6,13.96
56,San Policarpo,PH,2022-11-21 19:08:09,12.1791,125.5072,80.2,84,52,10.36
57,Arraial Do Cabo,BR,2022-11-21 19:08:10,-22.9661,-42.0278,78.66,69,40,23.02
58,Parrita,CR,2022-11-21 19:08:11,9.5201,-84.3225,80.74,82,100,3.04
59,Albany,US,2022-11-21 19:07:11,42.6001,-73.9662,39.25,44,4,5.01
60,Orange Cove,US,2022-11-21 19:08:11,36.6244,-119.3137,66.61,38,0,4.61
61,Barrow,US,2022-11-21 19:04:23,71.2906,-156.7887,19.42,73,100,20.71
62,Lebu,CL,2022-11-21 19:08:11,-37.6167,-73.65,60.4,60,0,20.96
63,Horadiz,AZ,2022-11-21 19:08:12,39.4488,47.3353,57.97,52,99,3.83
64,Port Alfred,ZA,2022-11-21 19:08:12,-33.5906,26.891,68.18,88,24,4.0
65,Los Llanos De Aridane,ES,2022-11-21 19:08:12,28.6585,-17.9182,67.75,80,75,11.01
66,Kodiak,US,2022-11-21 19:08:13,57.79,-152.4072,35.11,100,100,4.61
67,Saskylakh,RU,2022-11-21 19:08:13,71.9167,114.0833,-32.64,99,78,4.79
68,Cherskiy,RU,2022-11-21 19:08:14,68.75,161.3,-32.17,100,95,3.29
69,Tulum,MX,2022-11-21 19:08:14,20.2167,-87.4667,84.18,66,99,4.36
70,Cape Town,ZA,2022-11-21 19:08:14,-33.9258,18.4232,66.09,63,100,5.99
71,Salalah,OM,2022-11-21 19:08:15,17.0151,54.0924,78.89,69,0,5.75
72,Kaabong,UG,2022-11-21 19:08:15,3.4836,34.1492,72.21,45,56,9.78
73,Lagoa,PT,2022-11-21 19:08:15,39.05,-27.9833,64.45,91,100,29.44
74,College,US,2022-11-21 19:04:00,64.8569,-147.8028,16.59,87,75,0.0
75,Hithadhoo,MV,2022-11-21 19:08:16,-0.6,73.0833,80.82,78,15,10.85
76,Petropavlovsk-Kamchatskiy,RU,2022-11-21 19:08:16,53.0452,158.6483,23.59,93,100,0.0
77,Kristiinankaupunki,FI,2022-11-21 19:08:16,62.2743,21.376,28.04,79,100,13.98
78,Jamestown,US,2022-11-21 19:07:23,42.097,-79.2353,42.39,45,0,19.57
79,Cape Coast,GH,2022-11-21 19:08:17,5.1053,-1.2466,79.74,81,28,11.54
80,Carnarvon,AU,2022-11-21 19:08:17,-24.8667,113.6333,73.54,57,66,11.03
81,Padang,ID,2022-11-21 19:06:53,-0.9492,100.3543,75.81,86,96,3.31
82,San Cristobal,VE,2022-11-21 19:08:18,7.7669,-72.225,73.58,71,91,0.31
83,Opuwo,NA,2022-11-21 19:08:18,-18.0607,13.84,74.01,50,36,11.61
84,Diapaga,BF,2022-11-21 19:08:19,12.0708,1.7889,81.09,15,92,6.71
85,Vila Velha,BR,2022-11-21 19:06:16,-20.3297,-40.2925,75.15,91,100,5.75
86,Thinadhoo,MV,2022-11-21 19:08:19,0.5333,72.9333,81.55,75,98,14.54
87,Busselton,AU,2022-11-21 19:08:19,-33.65,115.3333,55.4,71,0,12.73
88,Bonfim,BR,2022-11-21 19:08:20,3.0833,-59.95,88.41,51,81,10.09
89,Camacari,BR,2022-11-21 19:08:23,-12.6975,-38.3242,82.17,68,64,9.31
90,Vyazemskiy,RU,2022-11-21 19:09:20,47.5378,134.7525,17.22,69,6,10.0
91,Lloydminster,CA,2022-11-21 19:08:58,53.2835,-110.0016,32.27,88,29,12.71
92,Bafra,TR,2022-11-21 19:09:21,41.5678,35.9069,70.72,39,100,10.04
93,Butaritari,KI,2022-11-21 19:09:21,3.0707,172.7902,80.44,82,29,16.98
94,Christchurch,NZ,2022-11-21 19:04:44,-43.5333,172.6333,60.91,50,100,9.22
95,Arkadelphia,US,2022-11-21 19:09:21,34.1209,-93.0538,54.57,39,100,0.0
96,Hobart,AU,2022-11-21 19:09:22,-42.8794,147.3294,43.05,81,75,14.97
97,Tautira,PF,2022-11-21 19:09:22,-17.7333,-149.15,77.11,80,38,13.76
98,Mkuranga,TZ,2022-11-21 19:09:23,-7.118,39.2078,75.24,91,89,5.75
99,Ammon,US,2022-11-21 19:08:29,43.4696,-111.9666,29.34,56,0,1.01
100,Gazanjyk,TM,2022-11-21 19:09:23,39.2446,55.5154,59.56,51,13,9.51
101,Viransehir,TR,2022-11-21 19:09:23,37.2353,39.7631,57.79,54,100,4.76
102,Tulle,FR,2022-11-21 19:09:24,45.3333,1.8333,42.98,96,98,7.45
103,Codrington,AU,2022-11-21 19:09:24,-38.2667,141.9667,51.4,82,100,18.92
104,Gamba,GA,2022-11-21 19:09:25,-2.65,10.0,75.11,89,92,4.05
105,Chokwe,MZ,2022-11-21 19:08:11,-24.5333,32.9833,71.74,53,0,9.08
106,Tilichiki,RU,2022-11-21 19:09:25,60.4667,166.1,2.03,98,100,9.75
107,Aklavik,CA,2022-11-21 19:09:25,68.2191,-135.0107,1.9,99,84,2.26
108,Tocopilla,CL,2022-11-21 19:09:26,-22.092,-70.1979,68.88,62,21,5.23
109,Sept-Iles,CA,2022-11-21 19:09:26,50.2001,-66.3821,28.06,70,36,8.99
110,Vestmanna,FO,2022-11-21 19:09:27,62.1564,-7.1664,38.32,75,40,1.14
111,Narathiwat,TH,2022-11-21 19:09:27,6.3333,101.75,74.84,90,100,5.37
